# generated 2026-08-30 — 2 pre-kill window(s) (--window=20s) across 2 scanned match(es)
# type is self-buff (player applied it to themselves) or target-debuff (player applied it directly to the kill target — e.g. Colossus Smash-style damage amplifiers)
# ranked by % of windows the mechanic appeared in, not raw occurrence count — a spammy filler effect firing 5x in one window should not outrank something that reliably shows up once per window
# format: spell_id | type | pct | matchCount/totalWindows | name

51460 | self-buff | 100% | 2/2 | Runic Corruption
458123 | self-buff | 100% | 2/2 | Festering Scythe
327092 | target-debuff | 100% | 2/2 | Famine
327093 | target-debuff | 100% | 2/2 | Pestilence
1256576 | self-buff | 100% | 2/2 | Forbidden Sacrifice
374585 | self-buff | 100% | 2/2 | Rune Mastery
444633 | target-debuff | 100% | 2/2 | Undeath
1241786 | target-debuff | 100% | 2/2 | Infected Claws
327095 | target-debuff | 100% | 2/2 | Death
327096 | target-debuff | 100% | 2/2 | War
390271 | target-debuff | 100% | 2/2 | Coil of Devastation
188290 | self-buff | 50% | 1/2 | Death and Decay
444826 | target-debuff | 50% | 1/2 | Chains of Ice
444505 | self-buff | 50% | 1/2 | Mograine's Might
374557 | target-debuff | 50% | 1/2 | Brittle
444834 | target-debuff | 50% | 1/2 | Trollbane's Icy Fury
444763 | self-buff | 50% | 1/2 | Apocalyptic Conquest
194879 | self-buff | 50% | 1/2 | Icy Talons
81340 | self-buff | 50% | 1/2 | Sudden Doom
1242866 | self-buff | 50% | 1/2 | Raise Dead
1241569 | self-buff | 50% | 1/2 | Clawing Shadows
345230 | self-buff | 50% | 1/2 | Gladiator's Insignia
435551 | self-buff | 50% | 1/2 | Enduring Bloodstone
283167 | self-buff | 50% | 1/2 | PvP Trinket
101568 | self-buff | 50% | 1/2 | Dark Succor
45524 | target-debuff | 50% | 1/2 | Chains of Ice
454787 | target-debuff | 50% | 1/2 | Ice Prison
1240996 | target-debuff | 50% | 1/2 | Dread Plague
191587 | target-debuff | 50% | 1/2 | Virulent Plague
392490 | target-debuff | 50% | 1/2 | Enfeeble
444828 | target-debuff | 50% | 1/2 | Chains of Ice
356528 | target-debuff | 50% | 1/2 | Necrotic Wound
210141 | target-debuff | 50% | 1/2 | Reanimation
48792 | self-buff | 50% | 1/2 | Icebound Fortitude
1229746 | self-buff | 50% | 1/2 | Arcanoweave Insight
1268917 | self-buff | 50% | 1/2 | Unholy Aura
42650 | self-buff | 50% | 1/2 | Army of the Dead
1242223 | self-buff | 50% | 1/2 | Forbidden Knowledge
1242998 | self-buff | 50% | 1/2 | Lesser Ghoul
