# generated 2026-08-30 — 1 pre-kill window(s) (--window=20s) across 1 scanned match(es)
# type is self-buff (player applied it to themselves) or target-debuff (player applied it directly to the kill target — e.g. Colossus Smash-style damage amplifiers)
# ranked by % of windows the mechanic appeared in, not raw occurrence count — a spammy filler effect firing 5x in one window should not outrank something that reliably shows up once per window
# format: spell_id | type | pct | matchCount/totalWindows | name

1223157 | self-buff | 100% | 1/1 | Voidstep
473728 | self-buff | 100% | 1/1 | Void Ray
1226019 | self-buff | 100% | 1/1 | Reap
1245577 | self-buff | 100% | 1/1 | Soul Fragments
354610 | self-buff | 100% | 1/1 | Glimpse
1287425 | self-buff | 100% | 1/1 | Void-Touched Orbs
1272778 | self-buff | 100% | 1/1 | Voidrush
1245523 | self-buff | 100% | 1/1 | Reaper's Toll
1245470 | self-buff | 100% | 1/1 | Reaper's Toll
1287978 | self-buff | 100% | 1/1 | Rune of Lynxlike Reflexes
1259230 | self-buff | 100% | 1/1 | Seized Power
1238495 | self-buff | 100% | 1/1 | Moment of Craving
1296884 | self-buff | 100% | 1/1 | Rush of Fangs
1266616 | self-buff | 100% | 1/1 | Demon Muzzle
1239525 | self-buff | 100% | 1/1 | Hungering Slash
1239123 | self-buff | 100% | 1/1 | Hungering Slash
1261702 | self-buff | 100% | 1/1 | Beckon
1287770 | self-buff | 100% | 1/1 | Rune of the Versatile Warrior
1217607 | self-buff | 100% | 1/1 | Void Metamorphosis
1272462 | self-buff | 100% | 1/1 | Volatile Instinct
1246160 | self-buff | 100% | 1/1 | Voidsurge
1259431 | self-buff | 100% | 1/1 | Predator's Wake
1490 | target-debuff | 100% | 1/1 | Chaos Brand
1245654 | target-debuff | 100% | 1/1 | Burning Blades
1287663 | target-debuff | 100% | 1/1 | Rune of Lingering
1241532 | target-debuff | 100% | 1/1 | Devourer's Bite
198813 | target-debuff | 100% | 1/1 | Vengeful Retreat
1246168 | target-debuff | 100% | 1/1 | The Hunt
370970 | target-debuff | 100% | 1/1 | The Hunt
