# generated 2026-08-30 — 2 pre-kill window(s) (--window=20s) across 4 scanned match(es)
# type is self-buff (player applied it to themselves) or target-debuff (player applied it directly to the kill target — e.g. Colossus Smash-style damage amplifiers)
# ranked by % of windows the mechanic appeared in, not raw occurrence count — a spammy filler effect firing 5x in one window should not outrank something that reliably shows up once per window
# format: spell_id | type | pct | matchCount/totalWindows | name

258920 | self-buff | 100% | 2/2 | Immolation Aura
198013 | self-buff | 100% | 2/2 | Eye Beam
427901 | self-buff | 100% | 2/2 | Deflecting Dance
354610 | self-buff | 100% | 2/2 | Glimpse
389890 | self-buff | 100% | 2/2 | Tactical Retreat
208628 | self-buff | 100% | 2/2 | Exergy
212800 | self-buff | 100% | 2/2 | Blur
1266619 | self-buff | 100% | 2/2 | First In, Last Out
1271144 | self-buff | 100% | 2/2 | Empowered Eye Beam
370965 | self-buff | 100% | 2/2 | The Hunt
393831 | self-buff | 100% | 2/2 | Fel Devastation
162264 | self-buff | 100% | 2/2 | Metamorphosis
453239 | self-buff | 100% | 2/2 | Student of Suffering
452416 | self-buff | 100% | 2/2 | Demonsurge
343312 | self-buff | 100% | 2/2 | Furious Gaze
1271092 | self-buff | 100% | 2/2 | Eternal Hunt
453314 | self-buff | 100% | 2/2 | Enduring Torment
1490 | target-debuff | 100% | 2/2 | Chaos Brand
390181 | target-debuff | 100% | 2/2 | Soulscar
453177 | target-debuff | 100% | 2/2 | Burning Blades
213405 | target-debuff | 100% | 2/2 | Master of the Glaive
391191 | target-debuff | 100% | 2/2 | Burning Wound
