# generated 2026-08-30 — 2 pre-kill window(s) (--window=20s) across 2 scanned match(es)
# type is self-buff (player applied it to themselves) or target-debuff (player applied it directly to the kill target — e.g. Colossus Smash-style damage amplifiers)
# ranked by % of windows the mechanic appeared in, not raw occurrence count — a spammy filler effect firing 5x in one window should not outrank something that reliably shows up once per window
# format: spell_id | type | pct | matchCount/totalWindows | name

135700 | self-buff | 100% | 2/2 | Clearcasting
1244483 | self-buff | 100% | 2/2 | Sudden Ambush
378989 | self-buff | 100% | 2/2 | Lycara's Teachings
202636 | self-buff | 100% | 2/2 | Leader of the Pack
768 | self-buff | 100% | 2/2 | Cat Form (desc=Shapeshift)
378990 | self-buff | 100% | 2/2 | Lycara's Teachings
5225 | self-buff | 100% | 2/2 | Track Humanoids
69369 | self-buff | 100% | 2/2 | Predatory Swiftness
5217 | self-buff | 100% | 2/2 | Tiger's Fury
1263962 | self-buff | 100% | 2/2 | Stalking Predator
391873 | self-buff | 100% | 2/2 | Tiger's Tenacity
455496 | self-buff | 100% | 2/2 | Implant
439891 | self-buff | 100% | 2/2 | Strategic Infusion
449646 | self-buff | 100% | 2/2 | Savage Fury
449538 | self-buff | 100% | 2/2 | Coiled to Spring
1263939 | self-buff | 100% | 2/2 | Unseen Predator's Craving
391876 | self-buff | 100% | 2/2 | Frantic Momentum
274837 | self-buff | 100% | 2/2 | Feral Frenzy
155722 | target-debuff | 100% | 2/2 | Rake
58180 | target-debuff | 100% | 2/2 | Infected Wounds
1287663 | target-debuff | 100% | 2/2 | Rune of Lingering
155625 | target-debuff | 100% | 2/2 | Moonfire
439531 | target-debuff | 100% | 2/2 | Bloodseeker Vines
1271863 | target-debuff | 100% | 2/2 | Unseen Slash
1079 | target-debuff | 100% | 2/2 | Rip
274838 | target-debuff | 100% | 2/2 | Feral Frenzy
391722 | target-debuff | 100% | 2/2 | Sabertooth
