# generated 2026-08-30 — 6 pre-kill window(s) (--window=20s) across 13 scanned match(es)
# type is self-buff (player applied it to themselves) or target-debuff (player applied it directly to the kill target — e.g. Colossus Smash-style damage amplifiers)
# ranked by % of windows the mechanic appeared in, not raw occurrence count — a spammy filler effect firing 5x in one window should not outrank something that reliably shows up once per window
# format: spell_id | type | pct | matchCount/totalWindows | name

1232285 | self-buff | 100% | 6/6 | Efflorescence
114108 | self-buff | 83% | 5/6 | Soul of the Forest
164812 | target-debuff | 83% | 5/6 | Moonfire
774 | self-buff | 67% | 4/6 | Rejuvenation
155777 | self-buff | 67% | 4/6 | Rejuvenation (Germination)
319454 | self-buff | 67% | 4/6 | Call of the Elder Druid
378989 | self-buff | 67% | 4/6 | Lycara's Teachings
1287771 | self-buff | 67% | 4/6 | Rune of Masterful Cunning
1217484 | self-buff | 50% | 3/6 | Forest Guardian
1302255 | self-buff | 50% | 3/6 | Genesis
1227806 | self-buff | 50% | 3/6 | Lifebloom
22812 | self-buff | 50% | 3/6 | Barkskin
768 | self-buff | 50% | 3/6 | Cat Form (desc=Shapeshift)
378990 | self-buff | 50% | 3/6 | Lycara's Teachings
1287663 | target-debuff | 50% | 3/6 | Rune of Lingering
48438 | self-buff | 50% | 3/6 | Wild Growth
392360 | self-buff | 50% | 3/6 | Reforestation
16870 | self-buff | 50% | 3/6 | Clearcasting
33891 | self-buff | 50% | 3/6 | Incarnation: Tree of Life (desc=Talent, Shapeshift)
117679 | self-buff | 50% | 3/6 | Incarnation (desc=Passive)
385787 | self-buff | 33% | 2/6 | Matted Fur
5487 | self-buff | 33% | 2/6 | Bear Form (desc=Shapeshift)
378991 | self-buff | 33% | 2/6 | Lycara's Teachings
22842 | self-buff | 33% | 2/6 | Frenzied Regeneration
1287665 | self-buff | 33% | 2/6 | Rune of Lingering
1287425 | self-buff | 33% | 2/6 | Void-Touched Orbs
77764 | self-buff | 33% | 2/6 | Stampeding Roar
61391 | target-debuff | 33% | 2/6 | Typhoon
429438 | self-buff | 33% | 2/6 | Blooming Infusion
1264680 | self-buff | 33% | 2/6 | Sylvan Beckoning
1241715 | self-buff | 33% | 2/6 | Might of the Void
393897 | self-buff | 17% | 1/6 | Tireless Pursuit
439530 | self-buff | 17% | 1/6 | Symbiotic Blooms
165961 | self-buff | 17% | 1/6 | Travel Form
1229746 | self-buff | 17% | 1/6 | Arcanoweave Insight
1241762 | self-buff | 17% | 1/6 | Frenzied Focus
8936 | self-buff | 17% | 1/6 | Regrowth
1264618 | self-buff | 17% | 1/6 | Sylvan Beckoning
345230 | self-buff | 17% | 1/6 | 角斗士徽记
290213 | self-buff | 17% | 1/6 | Full Bloom
339 | target-debuff | 17% | 1/6 | Entangling Roots
