# generated 2026-08-30 — 1 pre-kill window(s) (--window=20s) across 2 scanned match(es)
# type is self-buff (player applied it to themselves) or target-debuff (player applied it directly to the kill target — e.g. Colossus Smash-style damage amplifiers)
# ranked by % of windows the mechanic appeared in, not raw occurrence count — a spammy filler effect firing 5x in one window should not outrank something that reliably shows up once per window
# format: spell_id | type | pct | matchCount/totalWindows | name

370898 | target-debuff | 100% | 1/1 | Permeating Chill
356995 | self-buff | 100% | 1/1 | Disintegrate (desc=Blue)
356995 | target-debuff | 100% | 1/1 | Disintegrate (desc=Blue)
1289650 | self-buff | 100% | 1/1 | Visage Chosen Identity Tracker [DNT]
375802 | self-buff | 100% | 1/1 | Burnout
1292323 | self-buff | 100% | 1/1 | Unbound Flame
1261393 | self-buff | 100% | 1/1 | 特遣动员
1261395 | self-buff | 100% | 1/1 | 特遣动员
1252613 | self-buff | 100% | 1/1 | 特遣动员
410355 | self-buff | 100% | 1/1 | Stretch Time
433874 | self-buff | 100% | 1/1 | Deep Breath (desc=Black)
372014 | self-buff | 100% | 1/1 | 幻容
359618 | self-buff | 100% | 1/1 | Essence Burst
357208 | self-buff | 100% | 1/1 | Fire Breath (desc=Red)
376850 | self-buff | 100% | 1/1 | Power Swell
370901 | self-buff | 100% | 1/1 | Leaping Flames
436336 | self-buff | 100% | 1/1 | Mass Disintegrate (desc=Black)
386353 | self-buff | 100% | 1/1 | Iridescence: Red
1265871 | self-buff | 100% | 1/1 | Azure Sweep
386399 | self-buff | 100% | 1/1 | Iridescence: Blue
358267 | self-buff | 100% | 1/1 | Hover
378105 | self-buff | 100% | 1/1 | Tailwind
353759 | target-debuff | 100% | 1/1 | Deep Breath (desc=Black)
441172 | target-debuff | 100% | 1/1 | Melt Armor (desc=Black)
372245 | target-debuff | 100% | 1/1 | Terror of the Skies (desc=Black)
357209 | target-debuff | 100% | 1/1 | Fire Breath (desc=Red)
434473 | target-debuff | 100% | 1/1 | Bombardments
