# generated 2026-08-30 — 1 pre-kill window(s) (--window=20s) across 3 scanned match(es)
# type is self-buff (player applied it to themselves) or target-debuff (player applied it directly to the kill target — e.g. Colossus Smash-style damage amplifiers)
# ranked by % of windows the mechanic appeared in, not raw occurrence count — a spammy filler effect firing 5x in one window should not outrank something that reliably shows up once per window
# format: spell_id | type | pct | matchCount/totalWindows | name

356995 | self-buff | 100% | 1/1 | Disintegrate (desc=Blue)
362877 | self-buff | 100% | 1/1 | Temporal Compression
372470 | self-buff | 100% | 1/1 | Scarlet Adaptation
431872 | self-buff | 100% | 1/1 | Temporality (desc=Bronze)
429460 | self-buff | 100% | 1/1 | Warp (desc=Bronze)
358267 | self-buff | 100% | 1/1 | Hover
1256579 | self-buff | 100% | 1/1 | Merithra's Blessing
355941 | self-buff | 100% | 1/1 | Dream Breath
390148 | self-buff | 100% | 1/1 | Flow State
369299 | self-buff | 100% | 1/1 | Essence Burst
373267 | self-buff | 100% | 1/1 | Lifebind
431654 | self-buff | 100% | 1/1 | Primacy (desc=Bronze)
443176 | self-buff | 100% | 1/1 | Lifespark
360806 | target-debuff | 100% | 1/1 | Sleep Walk (desc=Green)
