# generated 2026-08-30 — 1 pre-kill window(s) (--window=20s) across 3 scanned match(es)
# type is self-buff (player applied it to themselves) or target-debuff (player applied it directly to the kill target — e.g. Colossus Smash-style damage amplifiers)
# ranked by % of windows the mechanic appeared in, not raw occurrence count — a spammy filler effect firing 5x in one window should not outrank something that reliably shows up once per window
# format: spell_id | type | pct | matchCount/totalWindows | name

1276720 | self-buff | 100% | 1/1 | Nature's Ally
246152 | self-buff | 100% | 1/1 | Barbed Shot
1287955 | self-buff | 100% | 1/1 | Rune of Void-Tainted Shell
19574 | self-buff | 100% | 1/1 | Bestial Wrath
1265063 | self-buff | 100% | 1/1 | Bloody Frenzy
471878 | self-buff | 100% | 1/1 | Howl of the Pack Leader
1258338 | self-buff | 100% | 1/1 | Stampede!
1306960 | self-buff | 100% | 1/1 | Dire Beast
471881 | self-buff | 100% | 1/1 | Wyvern's Cry
1258344 | self-buff | 100% | 1/1 | Stampede
472324 | self-buff | 100% | 1/1 | Howl of the Pack Leader
471877 | self-buff | 100% | 1/1 | Howl of the Pack Leader
472640 | self-buff | 100% | 1/1 | Hogstrider
459731 | self-buff | 100% | 1/1 | Huntmaster's Call
1287770 | self-buff | 100% | 1/1 | Rune of the Versatile Warrior
345230 | self-buff | 100% | 1/1 | Gladiator's Insignia
1287663 | target-debuff | 100% | 1/1 | Rune of Lingering
217200 | target-debuff | 100% | 1/1 | Barbed Shot
