# generated 2026-08-30 — 3 pre-kill window(s) (--window=20s) across 8 scanned match(es)
# type is self-buff (player applied it to themselves) or target-debuff (player applied it directly to the kill target — e.g. Colossus Smash-style damage amplifiers)
# ranked by % of windows the mechanic appeared in, not raw occurrence count — a spammy filler effect firing 5x in one window should not outrank something that reliably shows up once per window
# format: spell_id | type | pct | matchCount/totalWindows | name

1279347 | self-buff | 100% | 3/3 | Quick Draw
260242 | self-buff | 100% | 3/3 | Precise Shots
194594 | self-buff | 100% | 3/3 | Lock and Load
1301098 | target-debuff | 100% | 3/3 | Spotter's Mark: Rapid Fire
288613 | self-buff | 100% | 3/3 | Trueshot
1264946 | self-buff | 100% | 3/3 | Moonlight Chakram
115804 | target-debuff | 100% | 3/3 | Mortal Wounds
1253601 | target-debuff | 100% | 3/3 | Sentinel's Mark
257044 | target-debuff | 100% | 3/3 | Rapid Fire
1253836 | target-debuff | 100% | 3/3 | Sanctified Armaments
451447 | self-buff | 67% | 2/3 | Don't Look Back
1287978 | self-buff | 67% | 2/3 | Rune of Lynxlike Reflexes
1287771 | self-buff | 67% | 2/3 | Rune of Masterful Cunning
1253750 | self-buff | 67% | 2/3 | Stargazer
389020 | self-buff | 67% | 2/3 | Bulletstorm
345230 | self-buff | 67% | 2/3 | Gladiator's Insignia
260243 | self-buff | 67% | 2/3 | Volley
257622 | self-buff | 67% | 2/3 | Trick Shots
212431 | target-debuff | 67% | 2/3 | Explosive Shot
202748 | self-buff | 33% | 1/3 | Survival Tactics
1287770 | self-buff | 33% | 1/3 | Rune of the Versatile Warrior
204090 | self-buff | 33% | 1/3 | Bullseye
1277549 | self-buff | 33% | 1/3 | Focus Fire
213691 | target-debuff | 33% | 1/3 | Scatter Shot
3355 | target-debuff | 33% | 1/3 | Freezing Trap
1287663 | target-debuff | 33% | 1/3 | Rune of Lingering
269576 | target-debuff | 33% | 1/3 | Master Marksman
