# generated 2026-08-30 — 1 pre-kill window(s) (--window=20s) across 1 scanned match(es)
# type is self-buff (player applied it to themselves) or target-debuff (player applied it directly to the kill target — e.g. Colossus Smash-style damage amplifiers)
# ranked by % of windows the mechanic appeared in, not raw occurrence count — a spammy filler effect firing 5x in one window should not outrank something that reliably shows up once per window
# format: spell_id | type | pct | matchCount/totalWindows | name

1241715 | self-buff | 100% | 1/1 | Might of the Void
259388 | self-buff | 100% | 1/1 | Mongoose Fury
1287978 | self-buff | 100% | 1/1 | Rune of Lynxlike Reflexes
202748 | self-buff | 100% | 1/1 | Survival Tactics
1287770 | self-buff | 100% | 1/1 | Rune of the Versatile Warrior
1287665 | self-buff | 100% | 1/1 | Rune of Lingering
385540 | self-buff | 100% | 1/1 | Rejuvenating Wind
435551 | self-buff | 100% | 1/1 | Enduring Bloodstone
472325 | self-buff | 100% | 1/1 | Howl of the Pack Leader
118922 | self-buff | 100% | 1/1 | Posthaste
1261193 | self-buff | 100% | 1/1 | Boomstick
407032 | target-debuff | 100% | 1/1 | Sticky Tar Bomb
117405 | target-debuff | 100% | 1/1 | Binding Shot
117526 | target-debuff | 100% | 1/1 | Binding Shot
