# generated 2026-08-30 — 2 pre-kill window(s) (--window=20s) across 5 scanned match(es)
# type is self-buff (player applied it to themselves) or target-debuff (player applied it directly to the kill target — e.g. Colossus Smash-style damage amplifiers)
# ranked by % of windows the mechanic appeared in, not raw occurrence count — a spammy filler effect firing 5x in one window should not outrank something that reliably shows up once per window
# format: spell_id | type | pct | matchCount/totalWindows | name

48107 | self-buff | 100% | 2/2 | Heating Up
48108 | self-buff | 100% | 2/2 | Hot Streak!
12654 | target-debuff | 100% | 2/2 | Ignite
431177 | self-buff | 50% | 1/2 | Frostfire Empowerment
383811 | self-buff | 50% | 1/2 | Fevered Incantation
451073 | self-buff | 50% | 1/2 | Glorious Incandescence
110960 | self-buff | 50% | 1/2 | Greater Invisibility
1229746 | self-buff | 50% | 1/2 | Arcanoweave Insight
1287774 | self-buff | 50% | 1/2 | Rune of Burning Haste
394195 | self-buff | 50% | 1/2 | Overflowing Energy
1287978 | self-buff | 50% | 1/2 | Rune of Lynxlike Reflexes
461531 | self-buff | 50% | 1/2 | Brainstorm
345228 | self-buff | 50% | 1/2 | Gladiator's Badge
453385 | self-buff | 50% | 1/2 | Fire's Ire
190319 | self-buff | 50% | 1/2 | Combustion
383637 | self-buff | 50% | 1/2 | Fiery Rush
1257350 | self-buff | 50% | 1/2 | Fired Up
1287663 | target-debuff | 50% | 1/2 | Rune of Lingering
468655 | target-debuff | 50% | 1/2 | Frostfire Bolt
205708 | target-debuff | 50% | 1/2 | Chilled
155158 | target-debuff | 50% | 1/2 | Meteor Burn
383874 | self-buff | 50% | 1/2 | Hyperthermia
1242220 | self-buff | 50% | 1/2 | Hyperthermia
1287770 | self-buff | 50% | 1/2 | 全能勇士符文
1270828 | target-debuff | 50% | 1/2 | Spellsteal
