# generated 2026-08-30 — 2 pre-kill window(s) (--window=20s) across 2 scanned match(es)
# type is self-buff (player applied it to themselves) or target-debuff (player applied it directly to the kill target — e.g. Colossus Smash-style damage amplifiers)
# ranked by % of windows the mechanic appeared in, not raw occurrence count — a spammy filler effect firing 5x in one window should not outrank something that reliably shows up once per window
# format: spell_id | type | pct | matchCount/totalWindows | name

1221389 | target-debuff | 100% | 2/2 | Freezing
190446 | self-buff | 100% | 2/2 | Brain Freeze
1247730 | self-buff | 100% | 2/2 | Thermal Void
410259 | self-buff | 100% | 2/2 | Master Shepherd
1287425 | self-buff | 100% | 2/2 | Void-Touched Orbs
118 | target-debuff | 100% | 2/2 | Polymorph
461531 | self-buff | 100% | 2/2 | Brainstorm
205473 | self-buff | 100% | 2/2 | Icicles
1263263 | self-buff | 100% | 2/2 | Hand of Frost
205708 | target-debuff | 100% | 2/2 | Chilled
1287663 | target-debuff | 100% | 2/2 | Rune of Lingering
