# generated 2026-08-30 — 3 pre-kill window(s) (--window=20s) across 3 scanned match(es)
# type is self-buff (player applied it to themselves) or target-debuff (player applied it directly to the kill target — e.g. Colossus Smash-style damage amplifiers)
# ranked by % of windows the mechanic appeared in, not raw occurrence count — a spammy filler effect firing 5x in one window should not outrank something that reliably shows up once per window
# format: spell_id | type | pct | matchCount/totalWindows | name

1248705 | self-buff | 100% | 3/3 | Skyfire Heel
414143 | self-buff | 100% | 3/3 | Yu'lon's Grace
1249756 | self-buff | 100% | 3/3 | Combo Strikes: Tiger Palm
1249757 | self-buff | 100% | 3/3 | Combo Strikes: Blackout Kick
1249753 | self-buff | 100% | 3/3 | Combo Strikes: Rising Sun Kick
202090 | self-buff | 100% | 3/3 | Teachings of the Monastery
435551 | self-buff | 100% | 3/3 | Enduring Bloodstone
129914 | self-buff | 100% | 3/3 | Combat Wisdom
449609 | self-buff | 67% | 2/3 | Lighter Than Air
113746 | target-debuff | 67% | 2/3 | Mystic Touch
1287663 | target-debuff | 67% | 2/3 | Rune of Lingering
201787 | target-debuff | 67% | 2/3 | Heavy-Handed Strikes
1249766 | self-buff | 67% | 2/3 | Combo Strikes: Strike of the Windlord
116768 | self-buff | 67% | 2/3 | Blackout Kick!
1249758 | self-buff | 67% | 2/3 | Combo Strikes: Fists of Fury
113656 | self-buff | 67% | 2/3 | Fists of Fury
451297 | self-buff | 67% | 2/3 | Momentum Boost
451298 | self-buff | 67% | 2/3 | Momentum Boost
451021 | self-buff | 67% | 2/3 | Flurry Charge
392983 | target-debuff | 67% | 2/3 | Strike of the Windlord
345228 | self-buff | 67% | 2/3 | Gladiator's Badge
1249625 | self-buff | 67% | 2/3 | Zenith
1249763 | self-buff | 67% | 2/3 | Combo Strikes: Zenith Stomp
1262605 | self-buff | 67% | 2/3 | Flurry Charge
1249791 | self-buff | 67% | 2/3 | Combo Strikes: Touch of Death
115804 | target-debuff | 33% | 1/3 | Mortal Wounds
1287425 | self-buff | 33% | 1/3 | Void-Touched Orbs
1250554 | self-buff | 33% | 1/3 | Rushing Wind Kick
336126 | self-buff | 33% | 1/3 | 角斗士的勋章
1241715 | self-buff | 33% | 1/3 | 虚空的力量
1250987 | self-buff | 33% | 1/3 | 组合拳：疾风呼啸踢
1287978 | self-buff | 33% | 1/3 | 山猫敏捷符文
120954 | self-buff | 33% | 1/3 | Fortifying Brew
451230 | self-buff | 33% | 1/3 | Predictive Training
1287770 | self-buff | 33% | 1/3 | Rune of the Versatile Warrior
116841 | self-buff | 33% | 1/3 | Tiger's Lust
1261724 | self-buff | 33% | 1/3 | Tigereye Brew
119381 | target-debuff | 33% | 1/3 | Leg Sweep
1229746 | self-buff | 33% | 1/3 | Arcanoweave Insight
125174 | self-buff | 33% | 1/3 | Touch of Karma
122470 | self-buff | 33% | 1/3 | Touch of Karma
1287771 | self-buff | 33% | 1/3 | Rune of Masterful Cunning
122470 | target-debuff | 33% | 1/3 | Touch of Karma
124280 | target-debuff | 33% | 1/3 | Touch of Karma
1289063 | target-debuff | 33% | 1/3 | Rune of Echoes
