# generated 2026-08-30 — 1 pre-kill window(s) (--window=20s) across 1 scanned match(es)
# type is self-buff (player applied it to themselves) or target-debuff (player applied it directly to the kill target — e.g. Colossus Smash-style damage amplifiers)
# ranked by % of windows the mechanic appeared in, not raw occurrence count — a spammy filler effect firing 5x in one window should not outrank something that reliably shows up once per window
# format: spell_id | type | pct | matchCount/totalWindows | name

20271 | self-buff | 100% | 1/1 | Judgment
445206 | self-buff | 100% | 1/1 | Blessing of An'she
408458 | self-buff | 100% | 1/1 | Divine Purpose
408383 | target-debuff | 100% | 1/1 | Judgment of Justice
406086 | self-buff | 100% | 1/1 | Art of War
642 | self-buff | 100% | 1/1 | Divine Shield
431522 | self-buff | 100% | 1/1 | Dawnlight
1241410 | self-buff | 100% | 1/1 | Hammer of Wrath
454351 | self-buff | 100% | 1/1 | Avenging Wrath
1264050 | self-buff | 100% | 1/1 | Born in Sunlight
387178 | self-buff | 100% | 1/1 | Empyrean Legacy
431907 | self-buff | 100% | 1/1 | Sun's Avatar
1287663 | target-debuff | 100% | 1/1 | Rune of Lingering
197277 | target-debuff | 100% | 1/1 | Judgment
403695 | target-debuff | 100% | 1/1 | Truth's Wake
431907 | target-debuff | 100% | 1/1 | Sun's Avatar
431380 | target-debuff | 100% | 1/1 | Dawnlight
