# generated 2026-08-30 — 4 pre-kill window(s) (--window=20s) across 5 scanned match(es)
# type is self-buff (player applied it to themselves) or target-debuff (player applied it directly to the kill target — e.g. Colossus Smash-style damage amplifiers)
# ranked by % of windows the mechanic appeared in, not raw occurrence count — a spammy filler effect firing 5x in one window should not outrank something that reliably shows up once per window
# format: spell_id | type | pct | matchCount/totalWindows | name

1235193 | self-buff | 100% | 4/4 | Holy Ray
390978 | self-buff | 100% | 4/4 | Twist of Fate
1253591 | self-buff | 100% | 4/4 | Master the Darkness
390787 | self-buff | 50% | 2/4 | Weal and Woe
390692 | self-buff | 50% | 2/4 | Borrowed Time
1287425 | self-buff | 50% | 2/4 | Void-Touched Orbs
356084 | target-debuff | 50% | 2/4 | Blaze of Light
10060 | self-buff | 50% | 2/4 | Power Infusion
408558 | self-buff | 50% | 2/4 | Phase Shift
586 | self-buff | 50% | 2/4 | Fade
1287665 | self-buff | 50% | 2/4 | Rune of Lingering
1300009 | self-buff | 50% | 2/4 | Void Shield (Unfolding Vision)
65081 | self-buff | 50% | 2/4 | Body and Soul
41635 | self-buff | 25% | 1/4 | Prayer of Mending
373183 | self-buff | 25% | 1/4 | Harsh Discipline
81700 | self-buff | 25% | 1/4 | Archangel
47753 | self-buff | 25% | 1/4 | Divine Aegis
1287771 | self-buff | 25% | 1/4 | Rune of Masterful Cunning
345230 | self-buff | 25% | 1/4 | Gladiator's Insignia
421453 | self-buff | 25% | 1/4 | Ultimate Penitence
45242 | self-buff | 25% | 1/4 | Focused Will
290793 | self-buff | 25% | 1/4 | Trinity
1280134 | target-debuff | 25% | 1/4 | Searing Light
121557 | self-buff | 25% | 1/4 | Angelic Feather
1287770 | self-buff | 25% | 1/4 | 全能勇士符文
589 | target-debuff | 25% | 1/4 | Shadow Word: Pain
