# generated 2026-08-30 — 6 pre-kill window(s) (--window=20s) across 16 scanned match(es)
# type is self-buff (player applied it to themselves) or target-debuff (player applied it directly to the kill target — e.g. Colossus Smash-style damage amplifiers)
# ranked by % of windows the mechanic appeared in, not raw occurrence count — a spammy filler effect firing 5x in one window should not outrank something that reliably shows up once per window
# format: spell_id | type | pct | matchCount/totalWindows | name

34914 | target-debuff | 100% | 6/6 | Vampiric Touch
393919 | self-buff | 100% | 6/6 | Screams of the Void
375981 | self-buff | 100% | 6/6 | Shadowy Insight
335467 | target-debuff | 83% | 5/6 | Shadow Word: Madness
426401 | self-buff | 83% | 5/6 | Focused Will
373316 | self-buff | 67% | 4/6 | Idol of Y'Shaarj
449887 | self-buff | 67% | 4/6 | Voidheart
390978 | self-buff | 67% | 4/6 | Twist of Fate
211522 | target-debuff | 67% | 4/6 | Psyfiend
15407 | self-buff | 50% | 3/6 | Mind Flay
15407 | target-debuff | 50% | 3/6 | Mind Flay
589 | target-debuff | 50% | 3/6 | Shadow Word: Pain
345230 | self-buff | 50% | 3/6 | Gladiator's Insignia
586 | self-buff | 50% | 3/6 | Fade
1280172 | self-buff | 50% | 3/6 | Shadowfiend
373213 | self-buff | 33% | 2/6 | Insidious Ire
408558 | self-buff | 33% | 2/6 | Phase Shift
450193 | self-buff | 33% | 2/6 | Entropic Rift
263165 | self-buff | 33% | 2/6 | Void Torrent
289577 | self-buff | 33% | 2/6 | Void Torrent
256374 | self-buff | 33% | 2/6 | Entropic Embrace
1241715 | self-buff | 33% | 2/6 | Might of the Void
121557 | self-buff | 33% | 2/6 | Angelic Feather
391403 | self-buff | 17% | 1/6 | Mind Flay: Insanity
1287774 | self-buff | 17% | 1/6 | Rune of Burning Haste
1243113 | self-buff | 17% | 1/6 | Horrific Vision
8122 | target-debuff | 17% | 1/6 | Psychic Scream
193065 | self-buff | 17% | 1/6 | Protective Light
17 | self-buff | 17% | 1/6 | Power Word: Shield
65081 | self-buff | 17% | 1/6 | Body and Soul
1296565 | target-debuff | 17% | 1/6 | Corrosive Venom
263165 | target-debuff | 17% | 1/6 | Void Torrent
453094 | self-buff | 17% | 1/6 | Halo
1242171 | self-buff | 17% | 1/6 | Void Volley
194249 | self-buff | 17% | 1/6 | Voidform
357714 | self-buff | 17% | 1/6 | Cascading Horrors
373277 | self-buff | 17% | 1/6 | Thing from Beyond
1287663 | target-debuff | 17% | 1/6 | Rune of Lingering
