# generated 2026-08-30 — 2 pre-kill window(s) (--window=20s) across 3 scanned match(es)
# type is self-buff (player applied it to themselves) or target-debuff (player applied it directly to the kill target — e.g. Colossus Smash-style damage amplifiers)
# ranked by % of windows the mechanic appeared in, not raw occurrence count — a spammy filler effect firing 5x in one window should not outrank something that reliably shows up once per window
# format: spell_id | type | pct | matchCount/totalWindows | name

343173 | self-buff | 100% | 2/2 | Premeditation
257506 | self-buff | 100% | 2/2 | Shot in the Dark
112942 | self-buff | 100% | 2/2 | Shadow Focus
196980 | self-buff | 100% | 2/2 | Master of Shadows
185422 | self-buff | 100% | 2/2 | Shadow Dance
393969 | self-buff | 100% | 2/2 | Danse Macabre
386237 | self-buff | 100% | 2/2 | Fade to Nothing
196911 | self-buff | 100% | 2/2 | Shadow Techniques
115192 | self-buff | 100% | 2/2 | Subterfuge
394203 | self-buff | 100% | 2/2 | The Rotten
1287978 | self-buff | 100% | 2/2 | Rune of Lynxlike Reflexes
408 | target-debuff | 100% | 2/2 | Kidney Shot
3409 | target-debuff | 100% | 2/2 | Crippling Poison
1269163 | self-buff | 50% | 1/2 | Ancient Arts
1248775 | self-buff | 50% | 1/2 | Unshakeable Drive
457167 | self-buff | 50% | 1/2 | Symbolic Victory
457280 | self-buff | 50% | 1/2 | Darkest Night
1287425 | self-buff | 50% | 1/2 | 虚空之触宝珠
2983 | self-buff | 50% | 1/2 | Sprint
1264521 | self-buff | 50% | 1/2 | Find Weakness
435551 | self-buff | 50% | 1/2 | Enduring Bloodstone
1287771 | self-buff | 50% | 1/2 | Rune of Masterful Cunning
1287665 | self-buff | 50% | 1/2 | Rune of Lingering
20572 | self-buff | 50% | 1/2 | Blood Fury
345228 | self-buff | 50% | 1/2 | Gladiator's Badge
121471 | self-buff | 50% | 1/2 | Shadow Blades
1229746 | self-buff | 50% | 1/2 | Arcanoweave Insight
57934 | self-buff | 50% | 1/2 | Tricks of the Trade
221630 | self-buff | 50% | 1/2 | Tricks of the Trade
1241715 | self-buff | 50% | 1/2 | Might of the Void
315496 | self-buff | 50% | 1/2 | Slice and Dice
426593 | target-debuff | 50% | 1/2 | Goremaw's Bite
8680 | target-debuff | 50% | 1/2 | Wound Poison
1833 | target-debuff | 50% | 1/2 | Cheap Shot
11327 | self-buff | 50% | 1/2 | Vanish
393971 | self-buff | 50% | 1/2 | Soothing Darkness
1966 | self-buff | 50% | 1/2 | Feint
36554 | self-buff | 50% | 1/2 | Shadowstep
1241759 | self-buff | 50% | 1/2 | 睿识真知
1776 | target-debuff | 50% | 1/2 | Gouge
1287663 | target-debuff | 50% | 1/2 | 萦绕符文
