# generated 2026-08-30 — 2 pre-kill window(s) (--window=20s) across 2 scanned match(es)
# type is self-buff (player applied it to themselves) or target-debuff (player applied it directly to the kill target — e.g. Colossus Smash-style damage amplifiers)
# ranked by % of windows the mechanic appeared in, not raw occurrence count — a spammy filler effect firing 5x in one window should not outrank something that reliably shows up once per window
# format: spell_id | type | pct | matchCount/totalWindows | name

77762 | self-buff | 100% | 2/2 | Lava Surge
447244 | self-buff | 100% | 2/2 | Call of the Ancestors
470077 | self-buff | 100% | 2/2 | Coalescing Water
462568 | self-buff | 100% | 2/2 | Elemental Resistance
336126 | self-buff | 100% | 2/2 | Gladiator's Medallion
443454 | self-buff | 100% | 2/2 | Ancestral Swiftness
1270453 | self-buff | 100% | 2/2 | Mystic Knowledge
1267089 | self-buff | 100% | 2/2 | Stormstream Totem
1287771 | self-buff | 50% | 1/2 | Rune of Masterful Cunning
382024 | self-buff | 50% | 1/2 | Earthliving Weapon
114052 | self-buff | 50% | 1/2 | Ascendance
108280 | self-buff | 50% | 1/2 | Healing Tide Totem
73685 | self-buff | 50% | 1/2 | Unleash Life
1241715 | self-buff | 50% | 1/2 | Might of the Void
345230 | self-buff | 50% | 1/2 | Gladiator's Insignia
355634 | self-buff | 50% | 1/2 | Windveil
1287955 | self-buff | 50% | 1/2 | Rune of Void-Tainted Shell
1287665 | self-buff | 50% | 1/2 | Rune of Lingering
207400 | self-buff | 50% | 1/2 | Ancestral Vigor
