# generated 2026-08-30 — 1 pre-kill window(s) (--window=20s) across 1 scanned match(es)
# type is self-buff (player applied it to themselves) or target-debuff (player applied it directly to the kill target — e.g. Colossus Smash-style damage amplifiers)
# ranked by % of windows the mechanic appeared in, not raw occurrence count — a spammy filler effect firing 5x in one window should not outrank something that reliably shows up once per window
# format: spell_id | type | pct | matchCount/totalWindows | name

184362 | self-buff | 100% | 1/1 | Enrage
1269349 | self-buff | 100% | 1/1 | Berserk
383873 | self-buff | 100% | 1/1 | Hack and Slash
1287771 | self-buff | 100% | 1/1 | Rune of Masterful Cunning
1265560 | self-buff | 100% | 1/1 | Surge of Adrenaline
280270 | self-buff | 100% | 1/1 | Improved Raging Blow
458245 | self-buff | 100% | 1/1 | Second Wind
1287663 | target-debuff | 100% | 1/1 | Rune of Lingering
52437 | self-buff | 100% | 1/1 | Sudden Death
435551 | self-buff | 100% | 1/1 | Enduring Bloodstone
184364 | self-buff | 100% | 1/1 | Enraged Regeneration
386208 | self-buff | 100% | 1/1 | Defensive Stance
262232 | self-buff | 100% | 1/1 | War Machine
437121 | self-buff | 100% | 1/1 | Burst of Power
85739 | self-buff | 100% | 1/1 | Whirlwind
386196 | self-buff | 100% | 1/1 | Berserker Stance
435203 | target-debuff | 100% | 1/1 | Thunder Clap
388539 | target-debuff | 100% | 1/1 | Rend
354788 | target-debuff | 100% | 1/1 | Slaughterhouse
