# Admin-default TalentBuild picks — generated by wow:export-default-talents.
# Applied by wow:apply-default-talents — deliberately NOT wired into import:spelldata
# automatically, so an admin actively re-curating a live build via /admin/talent-builds
# does not get silently reverted by an unrelated routine spell-data re-import.
# Re-export after any deliberate build change you want to become the new baseline
# for fresh environments.
#
# Format: class_slug | spec_slug | kind(pve|pvp) | spell_id | rank | name (comment only)
#   - pve rows: rank disambiguates a multi-rank node sharing one spell_id across ranks.
#   - pvp rows: rank is always blank (PvP talents have no rank concept).
# Regenerated wholesale each export — do not hand-edit, re-export instead.

# Death Knight / Blood (exported 2026-08-18)
deathknight | blood | pve | 205727 | 1 | Anti-Magic Barrier
deathknight | blood | pve | 51052 | 1 | Anti-Magic Zone
deathknight | blood | pve | 221562 | 1 | Asphyxiate
deathknight | blood | pve | 374383 | 1 | Assimilation
deathknight | blood | pve | 207167 | 1 | Blinding Sleet
deathknight | blood | pve | 50842 | 1 | Blood Boil
deathknight | blood | pve | 374598 | 1 | Blood Draw
deathknight | blood | pve | 391386 | 1 | Blood Feast
deathknight | blood | pve | 1263743 | 1 | Blood Mist
deathknight | blood | pve | 374030 | 1 | Blood Scent
deathknight | blood | pve | 458753 | 1 | Bloodied Blade
deathknight | blood | pve | 391398 | 1 | Bloodshot
deathknight | blood | pve | 195679 | 1 | Bloodworms
deathknight | blood | pve | 434136 | 1 | Bloody Fortitude
deathknight | blood | pve | 1279633 | 1 | Bloody Reflection
deathknight | blood | pve | 1265790 | 1 | Boiling Point
deathknight | blood | pve | 458572 | 1 | Bone Collector
deathknight | blood | pve | 374504 | 1 | Brittle
deathknight | blood | pve | 316916 | 1 | Cleaving Strikes
deathknight | blood | pve | 391477 | 1 | Coagulopathy
deathknight | blood | pve | 378848 | 1 | Coldthirst
deathknight | blood | pve | 1264506 | 1 | Dance of Midnight
deathknight | blood | pve | 49028 | 1 | Dancing Rune Weapon
deathknight | blood | pve | 1264235 | 1 | Deadly Reach
deathknight | blood | pve | 1266818 | 1 | Death Defiance
deathknight | blood | pve | 48743 | 1 | Death Pact
deathknight | blood | pve | 49998 | 1 | Death Strike
deathknight | blood | pve | 356367 | 1 | Death's Echo
deathknight | blood | pve | 1234559 | 1 | Desecrate
deathknight | blood | pve | 392566 | 1 | Enfeeble
deathknight | blood | pve | 377668 | 1 | Everlasting Bond
deathknight | blood | pve | 206974 | 1 | Foul Bulwark
deathknight | blood | pve | 434075 | 1 | Frenzied Bloodthirst
deathknight | blood | pve | 434152 | 1 | Gift of the San'layn
deathknight | blood | pve | 391571 | 2 | Gloom Ward
deathknight | blood | pve | 108199 | 1 | Gorefiend's Grasp
deathknight | blood | pve | 273952 | 1 | Grip of the Dead
deathknight | blood | pve | 206930 | 1 | Heart Strike
deathknight | blood | pve | 221536 | 1 | Heartbreaker
deathknight | blood | pve | 273946 | 1 | Hemostasis
deathknight | blood | pve | 48792 | 1 | Icebound Fortitude
deathknight | blood | pve | 194878 | 1 | Icy Talons
deathknight | blood | pve | 374715 | 1 | Improved Bone Shield
deathknight | blood | pve | 374277 | 1 | Improved Death Strike
deathknight | blood | pve | 374717 | 2 | Improved Heart Strike
deathknight | blood | pve | 317133 | 2 | Improved Vampiric Blood
deathknight | blood | pve | 434151 | 1 | Incite Terror
deathknight | blood | pve | 1280658 | 1 | Inevitable
deathknight | blood | pve | 434143 | 1 | Infliction of Sorrow
deathknight | blood | pve | 377637 | 1 | Insatiable Blade
deathknight | blood | pve | 391566 | 1 | Insidious Chill
deathknight | blood | pve | 391395 | 1 | Iron Heart
deathknight | blood | pve | 1264296 | 1 | Lifeblood
deathknight | blood | pve | 195182 | 1 | Marrowrend
deathknight | blood | pve | 47528 | 1 | Mind Freeze
deathknight | blood | pve | 454842 | 1 | Null Magic
deathknight | blood | pve | 454835 | 1 | Osmosis
deathknight | blood | pve | 219786 | 1 | Ossuary
deathknight | blood | pve | 434261 | 1 | Pact of the San'layn
deathknight | blood | pve | 207200 | 1 | Permafrost
deathknight | blood | pve | 374747 | 1 | Perseverance of the Ebon Blade
deathknight | blood | pve | 1265869 | 1 | Plague Infusion
deathknight | blood | pve | 373930 | 1 | Proliferating Chill
deathknight | blood | pve | 114556 | 1 | Purgatory
deathknight | blood | pve | 46585 | 1 | Raise Dead
deathknight | blood | pve | 194662 | 1 | Rapid Decomposition
deathknight | blood | pve | 205723 | 1 | Red Thirst
deathknight | blood | pve | 317610 | 1 | Relish in Blood
deathknight | blood | pve | 374574 | 2 | Rune Mastery
deathknight | blood | pve | 207104 | 1 | Runic Attenuation
deathknight | blood | pve | 454788 | 1 | Runic Protection
deathknight | blood | pve | 1263781 | 1 | Sanguinary Burst
deathknight | blood | pve | 391458 | 1 | Sanguine Ground
deathknight | blood | pve | 374049 | 1 | Suppression
deathknight | blood | pve | 434260 | 1 | The Blood is Life
deathknight | blood | pve | 1265547 | 1 | Thrill of Blood
deathknight | blood | pve | 1265574 | 1 | Transfusion
deathknight | blood | pve | 391517 | 1 | Umbilicus Eternus
deathknight | blood | pve | 374261 | 1 | Unholy Bond
deathknight | blood | pve | 389682 | 1 | Unholy Endurance
deathknight | blood | pve | 374265 | 2 | Unholy Momentum
deathknight | blood | pve | 457574 | 1 | Unyielding Will
deathknight | blood | pve | 55233 | 1 | Vampiric Blood
deathknight | blood | pve | 434028 | 1 | Vampiric Speed
deathknight | blood | pve | 433901 | 1 | Vampiric Strike
deathknight | blood | pve | 454851 | 1 | Vestigial Shell
deathknight | blood | pve | 48263 | 1 | Veteran of the Third War
deathknight | blood | pve | 434157 | 1 | Visceral Strength
deathknight | blood | pve | 273953 | 1 | Voracious
deathknight | blood | pve | 206967 | 2 | Will of the Necropolis
deathknight | blood | pve | 212552 | 1 | Wraith Walk
deathknight | blood | pvp | 410301 | | Bloodforged Armor
deathknight | blood | pvp | 199720 | | Decomposing Aura
deathknight | blood | pvp | 233412 | | Last Dance
deathknight | blood | pvp | 410320 | | Spellwarden

# Death Knight / Frost (exported 2026-08-18)
deathknight | frost | pve | 205727 | 1 | Anti-Magic Barrier
deathknight | frost | pve | 51052 | 1 | Anti-Magic Zone
deathknight | frost | pve | 456230 | 1 | Arctic Assault
deathknight | frost | pve | 221562 | 1 | Asphyxiate
deathknight | frost | pve | 374383 | 1 | Assimilation
deathknight | frost | pve | 207142 | 1 | Avalanche
deathknight | frost | pve | 440031 | 1 | Bind in Darkness
deathknight | frost | pve | 377056 | 1 | Biting Cold
deathknight | frost | pve | 207167 | 1 | Blinding Sleet
deathknight | frost | pve | 374598 | 1 | Blood Draw
deathknight | frost | pve | 374030 | 1 | Blood Scent
deathknight | frost | pve | 377098 | 2 | Bonegrinder
deathknight | frost | pve | 1249658 | 1 | Breath of Sindragosa
deathknight | frost | pve | 374504 | 1 | Brittle
deathknight | frost | pve | 1265632 | 1 | Chosen of Frostbrood
deathknight | frost | pve | 316916 | 1 | Cleaving Strikes
deathknight | frost | pve | 378848 | 1 | Coldthirst
deathknight | frost | pve | 456237 | 1 | Cryogenic Chamber
deathknight | frost | pve | 436687 | 1 | Dark Talons
deathknight | frost | pve | 1266818 | 1 | Death Defiance
deathknight | frost | pve | 48743 | 1 | Death Pact
deathknight | frost | pve | 49998 | 1 | Death Strike
deathknight | frost | pve | 356367 | 1 | Death's Echo
deathknight | frost | pve | 437122 | 1 | Death's Messenger
deathknight | frost | pve | 1265932 | 1 | Deathly Blows
deathknight | frost | pve | 1265855 | 1 | Echoing Fury
deathknight | frost | pve | 47568 | 1 | Empower Rune Weapon
deathknight | frost | pve | 377190 | 1 | Enduring Strength
deathknight | frost | pve | 376938 | 1 | Everfrost
